"","activity","subject","average"
"1","Walking",1,-0.153722070528324
"2","Walking",2,-0.246868489720627
"3","Walking",3,-0.25509575080743
"4","Walking",4,-0.314928743110884
"5","Walking",5,-0.243979863905535
"6","Walking",6,-0.183083132419648
"7","Walking",7,-0.146668588278687
"8","Walking",8,-0.139632636849052
"9","Walking",9,-0.238112758193513
"10","Walking",10,-0.171243280285558
"11","Walking",11,-0.316639709932807
"12","Walking",12,-0.204051847724816
"13","Walking",13,-0.16216469469009
"14","Walking",14,-0.245794411468521
"15","Walking",15,-0.262647701708031
"16","Walking",16,-0.316791848759343
"17","Walking",17,-0.256506855961365
"18","Walking",18,-0.318915435900928
"19","Walking",19,-0.0592270921576182
"20","Walking",20,-0.0822855188992002
"21","Walking",21,-0.185664623932161
"22","Walking",22,-0.117219211122921
"23","Walking",23,-0.0787731101442669
"24","Walking",24,-0.292610612713097
"25","Walking",25,-0.36087237543868
"26","Walking",26,-0.257996687371654
"27","Walking",27,-0.249776909612591
"28","Walking",28,-0.265610418056733
"29","Walking",29,-0.208298430368722
"30","Walking",30,-0.233556157269519
"31","Walking_Upstairs",1,-0.285970876698561
"32","Walking_Upstairs",2,-0.224356790163652
"33","Walking_Upstairs",3,-0.308278803713542
"34","Walking_Upstairs",4,-0.301972557606331
"35","Walking_Upstairs",5,-0.219856620865299
"36","Walking_Upstairs",6,-0.174224811337182
"37","Walking_Upstairs",7,-0.314686913652232
"38","Walking_Upstairs",8,-0.136198336708412
"39","Walking_Upstairs",9,-0.314250806441595
"40","Walking_Upstairs",10,-0.196800269811456
"41","Walking_Upstairs",11,-0.339404928990101
"42","Walking_Upstairs",12,-0.303651031097862
"43","Walking_Upstairs",13,-0.291385465487387
"44","Walking_Upstairs",14,-0.130098851015241
"45","Walking_Upstairs",15,-0.269934095846126
"46","Walking_Upstairs",16,-0.337383685146858
"47","Walking_Upstairs",17,-0.272646244671
"48","Walking_Upstairs",18,-0.379073875202538
"49","Walking_Upstairs",19,-0.161083876745375
"50","Walking_Upstairs",20,-0.192275042698118
"51","Walking_Upstairs",21,-0.250418978688761
"52","Walking_Upstairs",22,-0.160601619327738
"53","Walking_Upstairs",23,-0.22627666212547
"54","Walking_Upstairs",24,-0.316125439887194
"55","Walking_Upstairs",25,-0.399653009063569
"56","Walking_Upstairs",26,-0.286932426467427
"57","Walking_Upstairs",27,-0.315331728720999
"58","Walking_Upstairs",28,-0.269987917872957
"59","Walking_Upstairs",29,-0.233926898784217
"60","Walking_Upstairs",30,-0.327990438010303
"61","Walking_Downstairs",1,-0.116846340832627
"62","Walking_Downstairs",2,-0.0882110912337927
"63","Walking_Downstairs",3,-0.196285803641219
"64","Walking_Downstairs",4,-0.224648329354634
"65","Walking_Downstairs",5,-0.135266968708224
"66","Walking_Downstairs",6,-0.00774754007260368
"67","Walking_Downstairs",7,-0.144454981851541
"68","Walking_Downstairs",8,-0.00350851770489596
"69","Walking_Downstairs",9,-0.152590901085107
"70","Walking_Downstairs",10,-0.0928998408636873
"71","Walking_Downstairs",11,-0.202536620199863
"72","Walking_Downstairs",12,-0.14589225788813
"73","Walking_Downstairs",13,-0.146175018785925
"74","Walking_Downstairs",14,-0.0153892333474884
"75","Walking_Downstairs",15,-0.113093071016658
"76","Walking_Downstairs",16,-0.1925331420983
"77","Walking_Downstairs",17,-0.219408130633721
"78","Walking_Downstairs",18,-0.325757187345448
"79","Walking_Downstairs",19,0.120800080100552
"80","Walking_Downstairs",20,-0.0685970029487568
"81","Walking_Downstairs",21,-0.121272251258866
"82","Walking_Downstairs",22,-0.125317101550046
"83","Walking_Downstairs",23,-0.00632675657535315
"84","Walking_Downstairs",24,-0.2054786746024
"85","Walking_Downstairs",25,-0.317881021166441
"86","Walking_Downstairs",26,-0.166593783133544
"87","Walking_Downstairs",27,-0.150039730086021
"88","Walking_Downstairs",28,-0.12076166755164
"89","Walking_Downstairs",29,-0.161713430631038
"90","Walking_Downstairs",30,-0.207222290221097
"91","Sitting",1,-0.546547834190087
"92","Sitting",2,-0.56031344238308
"93","Sitting",3,-0.548882200456398
"94","Sitting",4,-0.562068453493841
"95","Sitting",5,-0.557727231606135
"96","Sitting",6,-0.552253932666457
"97","Sitting",7,-0.562681411082595
"98","Sitting",8,-0.562291009500816
"99","Sitting",9,-0.569861318694921
"100","Sitting",10,-0.554171495523231
"101","Sitting",11,-0.560163362015382
"102","Sitting",12,-0.568409496203126
"103","Sitting",13,-0.559210963996843
"104","Sitting",14,-0.580054672538001
"105","Sitting",15,-0.559975164678138
"106","Sitting",16,-0.555390572962235
"107","Sitting",17,-0.560390221539023
"108","Sitting",18,-0.559423852878406
"109","Sitting",19,-0.576489458188927
"110","Sitting",20,-0.571111336871542
"111","Sitting",21,-0.560043845535955
"112","Sitting",22,-0.568426797682488
"113","Sitting",23,-0.552769092949315
"114","Sitting",24,-0.57083115222427
"115","Sitting",25,-0.565443745219465
"116","Sitting",26,-0.564891478615595
"117","Sitting",27,-0.564458128520817
"118","Sitting",28,-0.573045498434115
"119","Sitting",29,-0.561197203492126
"120","Sitting",30,-0.570825177868484
"121","Standing",1,-0.560888899640907
"122","Standing",2,-0.560933299142959
"123","Standing",3,-0.569402828108679
"124","Standing",4,-0.558257364966512
"125","Standing",5,-0.552636166318237
"126","Standing",6,-0.563288791390388
"127","Standing",7,-0.576213650937707
"128","Standing",8,-0.563688790110945
"129","Standing",9,-0.571659651579692
"130","Standing",10,-0.562086082867722
"131","Standing",11,-0.56323444843933
"132","Standing",12,-0.561939569345044
"133","Standing",13,-0.570718206796153
"134","Standing",14,-0.581838713241965
"135","Standing",15,-0.567406090194044
"136","Standing",16,-0.569309593368161
"137","Standing",17,-0.567379253467323
"138","Standing",18,-0.581146224303779
"139","Standing",19,-0.575621987957224
"140","Standing",20,-0.568189557385581
"141","Standing",21,-0.571509980868209
"142","Standing",22,-0.583579226742791
"143","Standing",23,-0.57283032665109
"144","Standing",24,-0.572503694148874
